##SIR model beta=0.2000 gamma=0.1000  produced by macroInfection[.cpp]
#time[days]	S	I	R
0.000	0.999	0.001	0.000
1.000	0.999	0.001	0.000
2.000	0.999	0.001	0.000
3.000	0.998	0.001	0.000
4.000	0.998	0.001	0.000
5.000	0.998	0.002	0.001
6.000	0.997	0.002	0.001
7.000	0.997	0.002	0.001
8.000	0.997	0.002	0.001
9.000	0.996	0.002	0.001
10.000	0.996	0.003	0.002
11.000	0.995	0.003	0.002
12.000	0.994	0.003	0.002
13.000	0.994	0.004	0.003
14.000	0.993	0.004	0.003
15.000	0.992	0.004	0.003
16.000	0.991	0.005	0.004
17.000	0.990	0.005	0.004
18.000	0.989	0.006	0.005
19.000	0.988	0.007	0.006
20.000	0.986	0.007	0.006
21.000	0.985	0.008	0.007
22.000	0.983	0.009	0.008
23.000	0.981	0.010	0.009
24.000	0.979	0.011	0.010
25.000	0.977	0.012	0.011
26.000	0.975	0.013	0.012
27.000	0.972	0.014	0.014
28.000	0.969	0.016	0.015
29.000	0.966	0.017	0.017
30.000	0.963	0.019	0.018
31.000	0.959	0.021	0.020
32.000	0.955	0.023	0.023
33.000	0.950	0.025	0.025
34.000	0.945	0.027	0.028
35.000	0.940	0.029	0.030
36.000	0.934	0.032	0.033
37.000	0.928	0.035	0.037
38.000	0.921	0.038	0.040
39.000	0.914	0.042	0.044
40.000	0.906	0.045	0.049
41.000	0.898	0.049	0.053
42.000	0.889	0.053	0.059
43.000	0.879	0.057	0.064
44.000	0.869	0.061	0.070
45.000	0.858	0.066	0.076
46.000	0.846	0.071	0.083
47.000	0.834	0.076	0.091
48.000	0.821	0.081	0.098
49.000	0.807	0.086	0.107
50.000	0.793	0.092	0.116
51.000	0.778	0.097	0.125
52.000	0.763	0.102	0.135
53.000	0.747	0.108	0.146
54.000	0.730	0.113	0.157
55.000	0.714	0.118	0.168
56.000	0.697	0.123	0.180
57.000	0.679	0.128	0.193
58.000	0.662	0.132	0.206
59.000	0.644	0.136	0.219
60.000	0.627	0.140	0.233
61.000	0.609	0.143	0.247
62.000	0.592	0.146	0.262
63.000	0.575	0.149	0.276
64.000	0.558	0.151	0.291
65.000	0.541	0.152	0.307
66.000	0.525	0.153	0.322
67.000	0.509	0.154	0.337
68.000	0.493	0.154	0.353
69.000	0.479	0.153	0.368
70.000	0.464	0.153	0.383
71.000	0.450	0.151	0.399
72.000	0.437	0.150	0.414
73.000	0.424	0.148	0.428
74.000	0.412	0.145	0.443
75.000	0.400	0.142	0.457
76.000	0.389	0.139	0.472
77.000	0.378	0.136	0.485
78.000	0.368	0.133	0.499
79.000	0.359	0.129	0.512
80.000	0.350	0.126	0.525
81.000	0.341	0.122	0.537
82.000	0.333	0.118	0.549
83.000	0.326	0.114	0.561
84.000	0.318	0.110	0.572
85.000	0.312	0.106	0.582
86.000	0.305	0.102	0.593
87.000	0.299	0.098	0.603
88.000	0.293	0.094	0.612
89.000	0.288	0.090	0.622
90.000	0.283	0.086	0.631
91.000	0.278	0.083	0.639
92.000	0.274	0.079	0.647
93.000	0.270	0.076	0.655
94.000	0.266	0.072	0.662
95.000	0.262	0.069	0.669
96.000	0.258	0.066	0.676
97.000	0.255	0.062	0.682
98.000	0.252	0.059	0.688
99.000	0.249	0.057	0.694
100.000	0.246	0.054	0.700
101.000	0.244	0.051	0.705
102.000	0.241	0.049	0.710
103.000	0.239	0.046	0.715
104.000	0.237	0.044	0.719
105.000	0.235	0.041	0.723
106.000	0.233	0.039	0.727
107.000	0.231	0.037	0.731
108.000	0.230	0.035	0.735
109.000	0.228	0.033	0.738
110.000	0.227	0.032	0.742
111.000	0.225	0.030	0.745
112.000	0.224	0.028	0.748
113.000	0.223	0.027	0.750
114.000	0.222	0.025	0.753
115.000	0.220	0.024	0.755
116.000	0.219	0.023	0.758
117.000	0.218	0.021	0.760
118.000	0.218	0.020	0.762
119.000	0.217	0.019	0.764
120.000	0.216	0.018	0.766
121.000	0.215	0.017	0.768
122.000	0.214	0.016	0.769
123.000	0.214	0.015	0.771
124.000	0.213	0.014	0.772
125.000	0.213	0.014	0.774
126.000	0.212	0.013	0.775
127.000	0.211	0.012	0.776
128.000	0.211	0.011	0.778
129.000	0.210	0.011	0.779
130.000	0.210	0.010	0.780
131.000	0.210	0.010	0.781
132.000	0.209	0.009	0.782
133.000	0.209	0.009	0.783
134.000	0.208	0.008	0.783
135.000	0.208	0.008	0.784
136.000	0.208	0.007	0.785
137.000	0.208	0.007	0.786
138.000	0.207	0.006	0.786
139.000	0.207	0.006	0.787
140.000	0.207	0.006	0.788
141.000	0.207	0.005	0.788
142.000	0.206	0.005	0.789
143.000	0.206	0.005	0.789
144.000	0.206	0.005	0.790
145.000	0.206	0.004	0.790
146.000	0.206	0.004	0.790
147.000	0.205	0.004	0.791
148.000	0.205	0.004	0.791
149.000	0.205	0.003	0.791
150.000	0.205	0.003	0.792
151.000	0.205	0.003	0.792
152.000	0.205	0.003	0.792
153.000	0.205	0.003	0.793
154.000	0.205	0.002	0.793
155.000	0.204	0.002	0.793
156.000	0.204	0.002	0.793
157.000	0.204	0.002	0.794
158.000	0.204	0.002	0.794
159.000	0.204	0.002	0.794
160.000	0.204	0.002	0.794
161.000	0.204	0.002	0.794
162.000	0.204	0.002	0.795
163.000	0.204	0.001	0.795
164.000	0.204	0.001	0.795
165.000	0.204	0.001	0.795
166.000	0.204	0.001	0.795
167.000	0.204	0.001	0.795
168.000	0.204	0.001	0.795
169.000	0.204	0.001	0.795
170.000	0.204	0.001	0.796
171.000	0.203	0.001	0.796
172.000	0.203	0.001	0.796
173.000	0.203	0.001	0.796
174.000	0.203	0.001	0.796
175.000	0.203	0.001	0.796
176.000	0.203	0.001	0.796
177.000	0.203	0.001	0.796
178.000	0.203	0.001	0.796
179.000	0.203	0.001	0.796
180.000	0.203	0.001	0.796
181.000	0.203	0.001	0.796
182.000	0.203	0.000	0.796
183.000	0.203	0.000	0.796
184.000	0.203	0.000	0.796
185.000	0.203	0.000	0.796
186.000	0.203	0.000	0.797
187.000	0.203	0.000	0.797
188.000	0.203	0.000	0.797
189.000	0.203	0.000	0.797
190.000	0.203	0.000	0.797
191.000	0.203	0.000	0.797
192.000	0.203	0.000	0.797
193.000	0.203	0.000	0.797
194.000	0.203	0.000	0.797
195.000	0.203	0.000	0.797
196.000	0.203	0.000	0.797
197.000	0.203	0.000	0.797
198.000	0.203	0.000	0.797
199.000	0.203	0.000	0.797
