##SEIR model beta=0.2000 gamma=0.1000 alpha=0.2000  produced by macroInfection[.cpp]
#time[days]	S	E	I	R
0.000	0.999	0.001	0.000	0.000
1.000	0.999	0.001	0.000	0.000
2.000	0.999	0.001	0.000	0.000
3.000	0.999	0.001	0.000	0.000
4.000	0.999	0.001	0.000	0.000
5.000	0.999	0.001	0.001	0.000
6.000	0.999	0.001	0.001	0.000
7.000	0.998	0.001	0.001	0.000
8.000	0.998	0.001	0.001	0.000
9.000	0.998	0.001	0.001	0.000
10.000	0.998	0.001	0.001	0.001
11.000	0.998	0.001	0.001	0.001
12.000	0.998	0.001	0.001	0.001
13.000	0.997	0.001	0.001	0.001
14.000	0.997	0.001	0.001	0.001
15.000	0.997	0.001	0.001	0.001
16.000	0.997	0.001	0.001	0.001
17.000	0.997	0.001	0.001	0.001
18.000	0.996	0.001	0.001	0.001
19.000	0.996	0.001	0.001	0.002
20.000	0.996	0.001	0.001	0.002
21.000	0.995	0.001	0.002	0.002
22.000	0.995	0.001	0.002	0.002
23.000	0.995	0.001	0.002	0.002
24.000	0.994	0.001	0.002	0.002
25.000	0.994	0.002	0.002	0.003
26.000	0.994	0.002	0.002	0.003
27.000	0.993	0.002	0.002	0.003
28.000	0.993	0.002	0.002	0.003
29.000	0.992	0.002	0.002	0.003
30.000	0.992	0.002	0.003	0.004
31.000	0.991	0.002	0.003	0.004
32.000	0.991	0.002	0.003	0.004
33.000	0.990	0.002	0.003	0.004
34.000	0.989	0.003	0.003	0.005
35.000	0.989	0.003	0.003	0.005
36.000	0.988	0.003	0.004	0.005
37.000	0.987	0.003	0.004	0.006
38.000	0.987	0.003	0.004	0.006
39.000	0.986	0.003	0.004	0.007
40.000	0.985	0.003	0.005	0.007
41.000	0.984	0.004	0.005	0.008
42.000	0.983	0.004	0.005	0.008
43.000	0.982	0.004	0.005	0.009
44.000	0.981	0.004	0.006	0.009
45.000	0.980	0.005	0.006	0.010
46.000	0.979	0.005	0.006	0.010
47.000	0.977	0.005	0.007	0.011
48.000	0.976	0.005	0.007	0.012
49.000	0.975	0.006	0.007	0.012
50.000	0.973	0.006	0.008	0.013
51.000	0.972	0.006	0.008	0.014
52.000	0.970	0.007	0.009	0.015
53.000	0.968	0.007	0.009	0.016
54.000	0.966	0.007	0.010	0.017
55.000	0.965	0.008	0.010	0.018
56.000	0.963	0.008	0.011	0.019
57.000	0.960	0.009	0.011	0.020
58.000	0.958	0.009	0.012	0.021
59.000	0.956	0.010	0.013	0.022
60.000	0.953	0.010	0.013	0.023
61.000	0.951	0.011	0.014	0.025
62.000	0.948	0.011	0.015	0.026
63.000	0.945	0.012	0.015	0.028
64.000	0.942	0.012	0.016	0.029
65.000	0.939	0.013	0.017	0.031
66.000	0.936	0.014	0.018	0.033
67.000	0.932	0.014	0.019	0.034
68.000	0.929	0.015	0.020	0.036
69.000	0.925	0.016	0.021	0.038
70.000	0.921	0.016	0.022	0.041
71.000	0.917	0.017	0.023	0.043
72.000	0.913	0.018	0.024	0.045
73.000	0.908	0.019	0.025	0.048
74.000	0.903	0.020	0.027	0.050
75.000	0.899	0.021	0.028	0.053
76.000	0.893	0.021	0.029	0.056
77.000	0.888	0.022	0.031	0.059
78.000	0.883	0.023	0.032	0.062
79.000	0.877	0.024	0.034	0.065
80.000	0.871	0.025	0.035	0.069
81.000	0.865	0.026	0.037	0.072
82.000	0.858	0.028	0.038	0.076
83.000	0.851	0.029	0.040	0.080
84.000	0.844	0.030	0.042	0.084
85.000	0.837	0.031	0.044	0.088
86.000	0.830	0.032	0.045	0.093
87.000	0.822	0.033	0.047	0.097
88.000	0.814	0.034	0.049	0.102
89.000	0.806	0.035	0.051	0.107
90.000	0.798	0.037	0.053	0.112
91.000	0.789	0.038	0.055	0.118
92.000	0.780	0.039	0.057	0.124
93.000	0.771	0.040	0.059	0.129
94.000	0.762	0.041	0.061	0.135
95.000	0.753	0.042	0.063	0.142
96.000	0.743	0.043	0.066	0.148
97.000	0.733	0.044	0.068	0.155
98.000	0.723	0.045	0.070	0.162
99.000	0.713	0.046	0.072	0.169
100.000	0.703	0.047	0.074	0.176
101.000	0.692	0.048	0.076	0.184
102.000	0.681	0.049	0.078	0.191
103.000	0.671	0.050	0.080	0.199
104.000	0.660	0.051	0.082	0.207
105.000	0.649	0.051	0.084	0.216
106.000	0.638	0.052	0.086	0.224
107.000	0.627	0.052	0.088	0.233
108.000	0.616	0.053	0.089	0.242
109.000	0.605	0.053	0.091	0.251
110.000	0.594	0.054	0.092	0.260
111.000	0.583	0.054	0.094	0.269
112.000	0.572	0.054	0.095	0.279
113.000	0.561	0.054	0.096	0.288
114.000	0.551	0.054	0.098	0.298
115.000	0.540	0.054	0.099	0.308
116.000	0.529	0.054	0.099	0.317
117.000	0.519	0.053	0.100	0.327
118.000	0.509	0.053	0.101	0.338
119.000	0.498	0.053	0.101	0.348
120.000	0.488	0.052	0.102	0.358
121.000	0.479	0.052	0.102	0.368
122.000	0.469	0.051	0.102	0.378
123.000	0.460	0.050	0.102	0.388
124.000	0.450	0.050	0.102	0.398
125.000	0.441	0.049	0.101	0.409
126.000	0.432	0.048	0.101	0.419
127.000	0.424	0.047	0.100	0.429
128.000	0.415	0.046	0.100	0.439
129.000	0.407	0.045	0.099	0.449
130.000	0.399	0.044	0.098	0.459
131.000	0.392	0.043	0.097	0.468
132.000	0.384	0.042	0.096	0.478
133.000	0.377	0.041	0.095	0.487
134.000	0.370	0.040	0.093	0.497
135.000	0.363	0.039	0.092	0.506
136.000	0.356	0.038	0.091	0.515
137.000	0.350	0.037	0.089	0.524
138.000	0.344	0.036	0.087	0.533
139.000	0.338	0.034	0.086	0.542
140.000	0.332	0.033	0.084	0.550
141.000	0.327	0.032	0.082	0.559
142.000	0.322	0.031	0.080	0.567
143.000	0.317	0.030	0.079	0.575
144.000	0.312	0.029	0.077	0.582
145.000	0.307	0.028	0.075	0.590
146.000	0.302	0.027	0.073	0.597
147.000	0.298	0.026	0.071	0.605
148.000	0.294	0.025	0.069	0.612
149.000	0.290	0.024	0.067	0.618
150.000	0.286	0.023	0.065	0.625
151.000	0.282	0.022	0.064	0.632
152.000	0.279	0.022	0.062	0.638
153.000	0.276	0.021	0.060	0.644
154.000	0.272	0.020	0.058	0.650
155.000	0.269	0.019	0.056	0.655
156.000	0.266	0.018	0.054	0.661
157.000	0.263	0.018	0.053	0.666
158.000	0.261	0.017	0.051	0.672
159.000	0.258	0.016	0.049	0.677
160.000	0.256	0.015	0.047	0.681
161.000	0.253	0.015	0.046	0.686
162.000	0.251	0.014	0.044	0.691
163.000	0.249	0.014	0.043	0.695
164.000	0.247	0.013	0.041	0.699
165.000	0.245	0.012	0.040	0.703
166.000	0.243	0.012	0.038	0.707
167.000	0.241	0.011	0.037	0.711
168.000	0.239	0.011	0.035	0.714
169.000	0.238	0.010	0.034	0.718
170.000	0.236	0.010	0.033	0.721
171.000	0.235	0.010	0.031	0.724
172.000	0.233	0.009	0.030	0.727
173.000	0.232	0.009	0.029	0.730
174.000	0.230	0.008	0.028	0.733
175.000	0.229	0.008	0.027	0.736
176.000	0.228	0.008	0.026	0.739
177.000	0.227	0.007	0.025	0.741
178.000	0.226	0.007	0.024	0.744
179.000	0.225	0.007	0.023	0.746
180.000	0.224	0.006	0.022	0.748
181.000	0.223	0.006	0.021	0.750
182.000	0.222	0.006	0.020	0.752
183.000	0.221	0.006	0.019	0.754
184.000	0.220	0.005	0.018	0.756
185.000	0.219	0.005	0.018	0.758
186.000	0.219	0.005	0.017	0.760
187.000	0.218	0.005	0.016	0.761
188.000	0.217	0.004	0.015	0.763
189.000	0.217	0.004	0.015	0.764
190.000	0.216	0.004	0.014	0.766
191.000	0.215	0.004	0.014	0.767
192.000	0.215	0.004	0.013	0.769
193.000	0.214	0.003	0.012	0.770
194.000	0.214	0.003	0.012	0.771
195.000	0.213	0.003	0.011	0.772
196.000	0.213	0.003	0.011	0.773
197.000	0.212	0.003	0.010	0.774
198.000	0.212	0.003	0.010	0.775
199.000	0.211	0.003	0.010	0.776
