##SIR iterated, tauI=7 tauR=18 R0=1.40  produced by macroInfection[.cpp]
#time[days]	S	I	R
0.0000	0.99900	0.00100	0.00000
1.0000	0.99800	0.00200	0.00000
2.0000	0.99700	0.00300	0.00000
3.0000	0.99600	0.00400	0.00000
4.0000	0.99500	0.00500	0.00000
5.0000	0.99400	0.00600	0.00000
6.0000	0.99300	0.00700	0.00000
7.0000	0.99160	0.00840	0.00000
8.0000	0.99020	0.00980	0.00000
9.0000	0.98881	0.01119	0.00000
10.0000	0.98741	0.01259	0.00000
11.0000	0.98602	0.01398	0.00000
12.0000	0.98463	0.01537	0.00000
13.0000	0.98324	0.01676	0.00000
14.0000	0.98130	0.01870	0.00000
15.0000	0.97936	0.02064	0.00000
16.0000	0.97743	0.02257	0.00000
17.0000	0.97550	0.02450	0.00000
18.0000	0.97358	0.02542	0.00100
19.0000	0.97166	0.02634	0.00200
20.0000	0.96975	0.02725	0.00300
21.0000	0.96708	0.02892	0.00400
22.0000	0.96442	0.03058	0.00500
23.0000	0.96178	0.03222	0.00600
24.0000	0.95915	0.03385	0.00700
25.0000	0.95653	0.03508	0.00840
26.0000	0.95392	0.03629	0.00980
27.0000	0.95132	0.03749	0.01119
28.0000	0.94771	0.03971	0.01259
29.0000	0.94412	0.04190	0.01398
30.0000	0.94056	0.04407	0.01537
31.0000	0.93703	0.04621	0.01676
32.0000	0.93352	0.04778	0.01870
33.0000	0.93003	0.04933	0.02064
34.0000	0.92657	0.05086	0.02257
35.0000	0.92178	0.05372	0.02450
36.0000	0.91704	0.05654	0.02642
37.0000	0.91235	0.05931	0.02834
38.0000	0.90771	0.06203	0.03025
39.0000	0.90313	0.06395	0.03292
40.0000	0.89859	0.06583	0.03558
41.0000	0.89410	0.06768	0.03822
42.0000	0.88792	0.07123	0.04085
43.0000	0.88183	0.07469	0.04347
44.0000	0.87584	0.07807	0.04608
45.0000	0.86995	0.08137	0.04868
46.0000	0.86415	0.08355	0.05229
47.0000	0.85844	0.08568	0.05588
48.0000	0.85282	0.08774	0.05944
49.0000	0.84514	0.09189	0.06297
50.0000	0.83763	0.09589	0.06648
51.0000	0.83028	0.09975	0.06997
52.0000	0.82311	0.10346	0.07343
53.0000	0.81609	0.10569	0.07822
54.0000	0.80923	0.10781	0.08296
55.0000	0.80252	0.10983	0.08765
56.0000	0.79343	0.11429	0.09229
57.0000	0.78462	0.11851	0.09687
58.0000	0.77608	0.12251	0.10141
59.0000	0.76781	0.12629	0.10590
60.0000	0.75979	0.12812	0.11208
61.0000	0.75202	0.12981	0.11817
62.0000	0.74449	0.13136	0.12416
63.0000	0.73438	0.13557	0.13005
64.0000	0.72471	0.13945	0.13585
65.0000	0.71543	0.14301	0.14156
66.0000	0.70654	0.14628	0.14718
67.0000	0.69801	0.14712	0.15486
68.0000	0.68983	0.14779	0.16237
69.0000	0.68198	0.14831	0.16972
70.0000	0.67159	0.15152	0.17689
71.0000	0.66177	0.15432	0.18391
72.0000	0.65248	0.15675	0.19077
73.0000	0.64369	0.15883	0.19748
74.0000	0.63536	0.15807	0.20657
75.0000	0.62745	0.15716	0.21538
76.0000	0.61995	0.15613	0.22392
77.0000	0.61019	0.15762	0.23219
78.0000	0.60109	0.15870	0.24021
79.0000	0.59261	0.15942	0.24798
80.0000	0.58468	0.15980	0.25551
81.0000	0.57727	0.15711	0.26562
82.0000	0.57033	0.15438	0.27529
83.0000	0.56382	0.15162	0.28457
84.0000	0.55548	0.15107	0.29346
85.0000	0.54782	0.15019	0.30199
86.0000	0.54078	0.14905	0.31017
87.0000	0.53429	0.14768	0.31802
88.0000	0.52830	0.14329	0.32841
89.0000	0.52276	0.13901	0.33823
90.0000	0.51762	0.13486	0.34752
91.0000	0.51113	0.13255	0.35631
92.0000	0.50526	0.13009	0.36464
93.0000	0.49993	0.12752	0.37255
94.0000	0.49508	0.12487	0.38005
95.0000	0.49065	0.11954	0.38981
96.0000	0.48659	0.11450	0.39891
97.0000	0.48287	0.10974	0.40739
98.0000	0.47823	0.10645	0.41532
99.0000	0.47408	0.10319	0.42273
100.0000	0.47035	0.09998	0.42967
101.0000	0.46698	0.09683	0.43618
102.0000	0.46394	0.09154	0.44452
103.0000	0.46118	0.08664	0.45218
104.0000	0.45866	0.08212	0.45922
105.0000	0.45555	0.07874	0.46571
106.0000	0.45279	0.07551	0.47170
107.0000	0.45034	0.07242	0.47724
108.0000	0.44814	0.06948	0.48238
109.0000	0.44616	0.06497	0.48887
