# Danmark
# https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-20122021-9j51
#date		cases	Omicron	Perc
22-11-2021	4514	1	0	
23-11-2021	4718	1	0	
24-11-2021	4034	0	0	
25-11-2021	4105	2	0	
26-11-2021	4161	2	0	
27-11-2021	3853	2	0.1	
28-11-2021	3893	11	0.3	
29-11-2021	5096	11	0.2	
30-11-2021	5424	24	0.4	
01-12-2021	4552	74	1.6	
02-12-2021	4596	60	1.3	
03-12-2021	5173	71	1.4	
04-12-2021	5099	102	2	
05-12-2021	4808	171	3.6	
06-12-2021	7113	354	5	
07-12-2021	7343	573	7.8	
08-12-2021	6690	702	10.5	
09-12-2021	6634	749	11.3	
10-12-2021	6966	891	12.8	
11-12-2021	6700	1095	16.3	
12-12-2021	7140	1560	21.8	
13-12-2021	10587	3049	28.8	
14-12-2021	11489	4446	38.7	
15-12-2021	11313	4990	44.1	
