#	Danmark
#       https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-27122021-tr73
#date		cases	notRel	notRel	#varPCR OmPerc		95%-CI
21-11-2021	3693	0	2	130	1.5		0.2-5.5
22-11-2021	4514	0	0	197	0.0		0-1.9
23-11-2021	4718	0	0	231	0.0		0-1.6
24-11-2021	4034	0	0	3505	0.0		0-0.1
25-11-2021	4106	0	0	3658	0.0		0-0.1
26-11-2021	4164	1	0	3703	0.0		0-0.1
27-11-2021	3853	0	2	3637	0.1		0-0.2
28-11-2021	3892	0	9	3581	0.3		0.1-0.5
29-11-2021	5098	0	11	4534	0.2		0.1-0.4
30-11-2021	5426	2	24	4887	0.5		0.3-0.7
01-12-2021	4554	0	76	4023	1.9		1.5-2.4
02-12-2021	4595	2	57	4013	1.4		1.1-1.8
03-12-2021	5182	6	74	4626	1.6		1.3-2
04-12-2021	5107	1	107	4730	2.3		1.9-2.7
05-12-2021	4809	8	158	4467	3.5		3-4.1
06-12-2021	7117	17	325	6416	5.1		4.5-5.6
07-12-2021	7354	74	502	6558	7.7		7-8.3
08-12-2021	6696	75	632	5921	10.7		9.9-11.5
09-12-2021	6669	95	689	5904	11.7		10.9-12.5
10-12-2021	6961	84	802	6060	13.2		12.4-14.1
11-12-2021	6716	55	1053	6097	17.3		16.3-18.2
12-12-2021	7168	72	1484	6371	23.3		22.3-24.4
13-12-2021	10625	280	2626	8871	29.6		28.7-30.6
14-12-2021	11539	417	3963	9979	39.7		38.8-40.7
15-12-2021	11234	420	4658	9860	47.2		46.3-48.2
16-12-2021	10603	471	4273	8950	47.7		46.7-48.8
17-12-2021	11075	397	4970	9260	53.7		52.7-54.7
18-12-2021	10465	178	3859	6975	55.3		54.2-56.5
19-12-2021	10639	112	3712	6029	61.6		60.3-62.8
20-12-2021	13953	142	1482	2336	63.4		61.5-65.4
21-12-2021	13721	94	828	1087	76.2		73.5-78.7
2
