##SEIR model beta=0.4000 gamma=0.2000 alpha=0.2000  produced by macroInfection[.cpp]
#time[days]	S	E	I	R
0.0000	0.9980	0.0010	0.0010	0.0000
1.0000	0.9976	0.0012	0.0010	0.0002
2.0000	0.9972	0.0013	0.0011	0.0004
3.0000	0.9967	0.0015	0.0011	0.0006
4.0000	0.9963	0.0016	0.0012	0.0009
5.0000	0.9958	0.0018	0.0013	0.0011
6.0000	0.9952	0.0020	0.0014	0.0014
7.0000	0.9947	0.0021	0.0015	0.0017
8.0000	0.9940	0.0023	0.0017	0.0020
9.0000	0.9933	0.0025	0.0018	0.0023
10.0000	0.9926	0.0027	0.0019	0.0027
11.0000	0.9918	0.0030	0.0021	0.0031
12.0000	0.9909	0.0032	0.0023	0.0036
13.0000	0.9900	0.0035	0.0025	0.0040
14.0000	0.9890	0.0038	0.0027	0.0046
15.0000	0.9878	0.0041	0.0029	0.0051
16.0000	0.9866	0.0045	0.0032	0.0057
17.0000	0.9853	0.0048	0.0034	0.0064
18.0000	0.9839	0.0052	0.0037	0.0071
19.0000	0.9824	0.0057	0.0040	0.0079
20.0000	0.9807	0.0062	0.0044	0.0087
21.0000	0.9789	0.0067	0.0048	0.0096
22.0000	0.9770	0.0072	0.0052	0.0106
23.0000	0.9749	0.0078	0.0056	0.0117
24.0000	0.9727	0.0084	0.0060	0.0129
25.0000	0.9702	0.0091	0.0065	0.0141
26.0000	0.9676	0.0099	0.0071	0.0155
27.0000	0.9647	0.0107	0.0077	0.0170
28.0000	0.9617	0.0115	0.0083	0.0185
29.0000	0.9584	0.0124	0.0090	0.0203
30.0000	0.9548	0.0134	0.0097	0.0221
31.0000	0.9510	0.0145	0.0104	0.0241
32.0000	0.9468	0.0156	0.0113	0.0263
33.0000	0.9424	0.0168	0.0122	0.0287
34.0000	0.9377	0.0180	0.0131	0.0312
35.0000	0.9326	0.0194	0.0141	0.0339
36.0000	0.9271	0.0208	0.0152	0.0368
37.0000	0.9213	0.0224	0.0164	0.0400
38.0000	0.9150	0.0240	0.0176	0.0434
39.0000	0.9084	0.0257	0.0189	0.0470
40.0000	0.9013	0.0274	0.0203	0.0510
41.0000	0.8937	0.0293	0.0218	0.0552
42.0000	0.8857	0.0313	0.0233	0.0597
43.0000	0.8772	0.0333	0.0250	0.0645
44.0000	0.8682	0.0355	0.0267	0.0697
45.0000	0.8587	0.0377	0.0285	0.0752
46.0000	0.8486	0.0400	0.0304	0.0811
47.0000	0.8381	0.0423	0.0323	0.0873
48.0000	0.8270	0.0447	0.0343	0.0940
49.0000	0.8153	0.0471	0.0365	0.1011
50.0000	0.8032	0.0496	0.0386	0.1086
