##SIR model beta=0.2000 gamma=0.1000  produced by macroInfection[.cpp]
#time[days]	S	I	R
0.0000	0.99900	0.00100	0.00000
1.0000	0.99879	0.00110	0.00011
2.0000	0.99856	0.00122	0.00022
3.0000	0.99830	0.00135	0.00035
4.0000	0.99802	0.00149	0.00049
5.0000	0.99771	0.00165	0.00065
6.0000	0.99736	0.00182	0.00082
7.0000	0.99698	0.00201	0.00101
8.0000	0.99656	0.00222	0.00122
9.0000	0.99609	0.00245	0.00146
10.0000	0.99558	0.00271	0.00171
11.0000	0.99501	0.00299	0.00200
12.0000	0.99439	0.00330	0.00231
13.0000	0.99370	0.00364	0.00266
14.0000	0.99294	0.00402	0.00304
15.0000	0.99210	0.00443	0.00346
16.0000	0.99118	0.00489	0.00393
17.0000	0.99016	0.00540	0.00444
18.0000	0.98904	0.00595	0.00501
19.0000	0.98780	0.00656	0.00564
20.0000	0.98644	0.00723	0.00632
21.0000	0.98495	0.00797	0.00708
22.0000	0.98330	0.00878	0.00792
23.0000	0.98149	0.00967	0.00884
24.0000	0.97950	0.01065	0.00986
25.0000	0.97731	0.01171	0.01098
26.0000	0.97491	0.01288	0.01220
27.0000	0.97228	0.01416	0.01356
28.0000	0.96940	0.01556	0.01504
29.0000	0.96624	0.01709	0.01667
30.0000	0.96278	0.01875	0.01846
31.0000	0.95901	0.02056	0.02043
32.0000	0.95489	0.02253	0.02258
33.0000	0.95039	0.02467	0.02494
34.0000	0.94550	0.02698	0.02752
35.0000	0.94018	0.02948	0.03034
36.0000	0.93440	0.03217	0.03342
37.0000	0.92814	0.03507	0.03678
38.0000	0.92137	0.03818	0.04045
39.0000	0.91406	0.04151	0.04443
40.0000	0.90619	0.04506	0.04875
41.0000	0.89772	0.04883	0.05345
42.0000	0.88865	0.05283	0.05853
43.0000	0.87894	0.05704	0.06402
44.0000	0.86859	0.06147	0.06994
45.0000	0.85758	0.06610	0.07632
46.0000	0.84591	0.07092	0.08317
47.0000	0.83359	0.07591	0.09051
48.0000	0.82061	0.08104	0.09836
49.0000	0.80699	0.08629	0.10672
50.0000	0.79276	0.09162	0.11562
51.0000	0.77795	0.09700	0.12505
52.0000	0.76259	0.10239	0.13502
53.0000	0.74673	0.10774	0.14552
54.0000	0.73043	0.11301	0.15656
55.0000	0.71374	0.11814	0.16812
56.0000	0.69672	0.12309	0.18018
57.0000	0.67945	0.12781	0.19273
58.0000	0.66201	0.13225	0.20574
59.0000	0.64446	0.13637	0.21917
60.0000	0.62688	0.14012	0.23300
61.0000	0.60935	0.14347	0.24718
62.0000	0.59193	0.14639	0.26168
63.0000	0.57471	0.14885	0.27645
64.0000	0.55774	0.15083	0.29143
65.0000	0.54108	0.15233	0.30659
66.0000	0.52479	0.15333	0.32188
67.0000	0.50891	0.15385	0.33725
68.0000	0.49348	0.15388	0.35264
69.0000	0.47854	0.15345	0.36801
70.0000	0.46412	0.15257	0.38331
71.0000	0.45022	0.15127	0.39851
72.0000	0.43688	0.14957	0.41355
73.0000	0.42409	0.14750	0.42841
74.0000	0.41185	0.14510	0.44304
75.0000	0.40018	0.14240	0.45742
76.0000	0.38906	0.13943	0.47151
77.0000	0.37848	0.13622	0.48530
78.0000	0.36843	0.13282	0.49875
79.0000	0.35890	0.12924	0.51186
80.0000	0.34987	0.12553	0.52460
81.0000	0.34133	0.12172	0.53696
82.0000	0.33325	0.11782	0.54894
83.0000	0.32561	0.11386	0.56052
84.0000	0.31841	0.10988	0.57171
85.0000	0.31161	0.10589	0.58250
86.0000	0.30520	0.10191	0.59289
87.0000	0.29917	0.09796	0.60288
88.0000	0.29348	0.09404	0.61248
89.0000	0.28812	0.09019	0.62169
90.0000	0.28308	0.08640	0.63052
91.0000	0.27833	0.08270	0.63897
92.0000	0.27386	0.07907	0.64706
93.0000	0.26966	0.07555	0.65479
94.0000	0.26571	0.07212	0.66217
95.0000	0.26199	0.06879	0.66922
96.0000	0.25850	0.06557	0.67593
97.0000	0.25521	0.06246	0.68233
98.0000	0.25212	0.05945	0.68843
99.0000	0.24921	0.05656	0.69423
100.0000	0.24648	0.05378	0.69975
101.0000	0.24391	0.05111	0.70499
102.0000	0.24149	0.04854	0.70997
103.0000	0.23921	0.04609	0.71470
104.0000	0.23707	0.04373	0.71919
105.0000	0.23506	0.04149	0.72345
106.0000	0.23317	0.03934	0.72749
107.0000	0.23139	0.03729	0.73132
108.0000	0.22972	0.03533	0.73495
109.0000	0.22814	0.03347	0.73839
110.0000	0.22666	0.03169	0.74165
111.0000	0.22527	0.03000	0.74473
112.0000	0.22396	0.02839	0.74765
113.0000	0.22272	0.02686	0.75041
114.0000	0.22156	0.02541	0.75303
115.0000	0.22047	0.02403	0.75550
116.0000	0.21944	0.02272	0.75783
117.0000	0.21847	0.02148	0.76004
118.0000	0.21756	0.02030	0.76213
119.0000	0.21671	0.01919	0.76411
120.0000	0.21590	0.01813	0.76597
121.0000	0.21514	0.01713	0.76773
122.0000	0.21442	0.01618	0.76940
123.0000	0.21375	0.01528	0.77097
124.0000	0.21312	0.01443	0.77246
125.0000	0.21252	0.01362	0.77386
126.0000	0.21196	0.01286	0.77518
127.0000	0.21143	0.01214	0.77643
128.0000	0.21093	0.01146	0.77761
129.0000	0.21046	0.01081	0.77872
130.0000	0.21002	0.01020	0.77977
131.0000	0.20960	0.00963	0.78077
132.0000	0.20921	0.00909	0.78170
133.0000	0.20884	0.00857	0.78258
134.0000	0.20850	0.00809	0.78342
135.0000	0.20817	0.00763	0.78420
136.0000	0.20786	0.00720	0.78494
137.0000	0.20757	0.00679	0.78564
138.0000	0.20730	0.00640	0.78630
139.0000	0.20704	0.00604	0.78692
140.0000	0.20680	0.00569	0.78751
141.0000	0.20657	0.00537	0.78806
142.0000	0.20635	0.00506	0.78858
143.0000	0.20615	0.00477	0.78908
144.0000	0.20596	0.00450	0.78954
145.0000	0.20578	0.00424	0.78998
146.0000	0.20561	0.00400	0.79039
147.0000	0.20545	0.00377	0.79078
148.0000	0.20530	0.00356	0.79114
149.0000	0.20516	0.00335	0.79149
150.0000	0.20502	0.00316	0.79181
151.0000	0.20490	0.00298	0.79212
152.0000	0.20478	0.00281	0.79241
153.0000	0.20467	0.00265	0.79268
154.0000	0.20456	0.00250	0.79294
155.0000	0.20446	0.00235	0.79318
156.0000	0.20437	0.00222	0.79341
157.0000	0.20428	0.00209	0.79363
158.0000	0.20420	0.00197	0.79383
159.0000	0.20412	0.00186	0.79402
160.0000	0.20405	0.00175	0.79420
161.0000	0.20398	0.00165	0.79437
162.0000	0.20391	0.00156	0.79453
163.0000	0.20385	0.00147	0.79468
164.0000	0.20379	0.00138	0.79483
165.0000	0.20374	0.00130	0.79496
166.0000	0.20369	0.00123	0.79509
167.0000	0.20364	0.00116	0.79521
168.0000	0.20359	0.00109	0.79532
169.0000	0.20355	0.00103	0.79542
170.0000	0.20351	0.00097	0.79552
171.0000	0.20347	0.00091	0.79562
172.0000	0.20343	0.00086	0.79571
173.0000	0.20340	0.00081	0.79579
174.0000	0.20337	0.00076	0.79587
175.0000	0.20334	0.00072	0.79594
176.0000	0.20331	0.00068	0.79601
177.0000	0.20328	0.00064	0.79608
178.0000	0.20326	0.00060	0.79614
179.0000	0.20323	0.00057	0.79620
180.0000	0.20321	0.00053	0.79625
181.0000	0.20319	0.00050	0.79631
182.0000	0.20317	0.00047	0.79635
183.0000	0.20315	0.00045	0.79640
184.0000	0.20313	0.00042	0.79644
185.0000	0.20312	0.00040	0.79648
186.0000	0.20310	0.00037	0.79652
187.0000	0.20309	0.00035	0.79656
188.0000	0.20307	0.00033	0.79659
189.0000	0.20306	0.00031	0.79663
190.0000	0.20305	0.00030	0.79666
191.0000	0.20304	0.00028	0.79669
192.0000	0.20303	0.00026	0.79671
193.0000	0.20302	0.00025	0.79674
194.0000	0.20301	0.00023	0.79676
195.0000	0.20300	0.00022	0.79678
196.0000	0.20299	0.00021	0.79681
197.0000	0.20298	0.00019	0.79683
198.0000	0.20297	0.00018	0.79684
199.0000	0.20296	0.00017	0.79686
200.0000	0.20296	0.00016	0.79688
201.0000	0.20295	0.00015	0.79690
202.0000	0.20295	0.00014	0.79691
203.0000	0.20294	0.00014	0.79692
204.0000	0.20293	0.00013	0.79694
205.0000	0.20293	0.00012	0.79695
206.0000	0.20292	0.00011	0.79696
207.0000	0.20292	0.00011	0.79697
208.0000	0.20292	0.00010	0.79698
209.0000	0.20291	0.00010	0.79699
210.0000	0.20291	0.00009	0.79700
211.0000	0.20290	0.00008	0.79701
212.0000	0.20290	0.00008	0.79702
213.0000	0.20290	0.00008	0.79703
214.0000	0.20289	0.00007	0.79703
215.0000	0.20289	0.00007	0.79704
216.0000	0.20289	0.00006	0.79705
217.0000	0.20289	0.00006	0.79705
218.0000	0.20288	0.00006	0.79706
219.0000	0.20288	0.00005	0.79706
